day,hour,value
5,1,35
5,2,26
5,3,17
5,4,6
5,5,11
5,6,10
5,7,13
5,8,30
5,9,50
5,10,48
5,11,71
5,12,59
5,13,79
5,14,95
5,15,83
5,16,114
5,17,125
5,18,149
5,19,162
5,20,147
5,21,132
5,22,119
5,23,82
5,24,79
1,1,24
1,2,10
1,3,9
1,4,7
1,5,7
1,6,19
1,7,24
1,8,42
1,9,42
1,10,66
1,11,64
1,12,63
1,13,69
1,14,75
1,15,104
1,16,119
1,17,140
1,18,150
1,19,143
1,20,126
1,21,91
1,22,42
1,23,34
1,24,56
6,1,28
6,2,17
6,3,17
6,4,12
6,5,10
6,6,12
6,7,8
6,8,20
6,9,21
6,10,40
6,11,44
6,12,40
6,13,69
6,14,58
6,15,83
6,16,127
6,17,103
6,18,72
6,19,64
6,20,83
6,21,58
6,22,43
6,23,31
6,24,49
7,1,37
7,2,21
7,3,10
7,4,10
7,5,4
7,6,4
7,7,9
7,8,18
7,9,14
7,10,36
7,11,33
7,12,36
7,13,36
7,14,46
7,15,57
7,16,63
7,17,61
7,18,61
7,19,41
7,20,46
7,21,39
7,22,43
7,23,25
7,24,29
4,1,20
4,2,15
4,3,12
4,4,13
4,5,11
4,6,14
4,7,36
4,8,56
4,9,36
4,10,74
4,11,89
4,12,88
4,13,93
4,14,119
4,15,88
4,16,138
4,17,165
4,18,152
4,19,149
4,20,111
4,21,88
4,22,70
4,23,51
4,24,23
2,1,8
2,2,10
2,3,6
2,4,7
2,5,9
2,6,18
2,7,34
2,8,40
2,9,60
2,10,78
2,11,71
2,12,61
2,13,87
2,14,65
2,15,94
2,16,109
2,17,169
2,18,173
2,19,168
2,20,154
2,21,117
2,22,68
2,23,55
2,24,17
3,1,19
3,2,13
3,3,13
3,4,10
3,5,3
3,6,20
3,7,26
3,8,54
3,9,51
3,10,79
3,11,63
3,12,87
3,13,91
3,14,106
3,15,140
3,16,139
3,17,155
3,18,157
3,19,159
3,20,131
3,21,105
3,22,77
3,23,51
3,24,
