day,hour,value
5,1,80
5,2,47
5,3,48
5,4,69
5,5,76
5,6,81
5,7,91
5,8,162
5,9,162
5,10,156
5,11,111
5,12,98
5,13,95
5,14,126
5,15,117
5,16,107
5,17,121
5,18,144
5,19,171
5,20,204
5,21,206
5,22,200
5,23,192
5,24,200
1,1,121
1,2,68
1,3,66
1,4,86
1,5,91
1,6,80
1,7,97
1,8,157
1,9,139
1,10,137
1,11,143
1,12,123
1,13,94
1,14,87
1,15,99
1,16,104
1,17,123
1,18,108
1,19,128
1,20,133
1,21,112
1,22,104
1,23,84
1,24,89
6,1,135
6,2,137
6,3,154
6,4,132
6,5,131
6,6,72
6,7,91
6,8,85
6,9,109
6,10,150
6,11,138
6,12,175
6,13,185
6,14,179
6,15,198
6,16,203
6,17,205
6,18,189
6,19,247
6,20,240
6,21,235
6,22,278
6,23,290
6,24,200
7,1,193
7,2,172
7,3,160
7,4,190
7,5,163
7,6,74
7,7,52
7,8,72
7,9,91
7,10,115
7,11,139
7,12,208
7,13,164
7,14,192
7,15,190
7,16,190
7,17,166
7,18,195
7,19,165
7,20,168
7,21,169
7,22,148
7,23,142
7,24,137
4,1,110
4,2,43
4,3,59
4,4,75
4,5,87
4,6,83
4,7,99
4,8,164
4,9,137
4,10,124
4,11,132
4,12,88
4,13,86
4,14,99
4,15,105
4,16,86
4,17,90
4,18,113
4,19,145
4,20,112
4,21,111
4,22,122
4,23,96
4,24,104
2,1,63
2,2,41
2,3,29
2,4,33
2,5,39
2,6,69
2,7,100
2,8,138
2,9,144
2,10,132
2,11,116
2,12,89
2,13,83
2,14,103
2,15,80
2,16,88
2,17,104
2,18,100
2,19,129
2,20,158
2,21,105
2,22,129
2,23,115
2,24,100
3,1,54
3,2,53
3,3,39
3,4,31
3,5,64
3,6,70
3,7,80
3,8,136
3,9,140
3,10,125
3,11,100
3,12,87
3,13,79
3,14,88
3,15,91
3,16,84
3,17,85
3,18,96
3,19,102
3,20,120
3,21,110
3,22,89
3,23,119
3,24,120
