day,hour,value
5,1,516
5,2,286
5,3,218
5,4,155
5,5,324
5,6,406
5,7,564
5,8,634
5,9,685
5,10,620
5,11,491
5,12,412
5,13,388
5,14,450
5,15,421
5,16,470
5,17,459
5,18,518
5,19,678
5,20,868
5,21,897
5,22,969
5,23,1101
5,24,1202
1,1,508
1,2,270
1,3,216
1,4,167
1,5,270
1,6,477
1,7,574
1,8,656
1,9,623
1,10,512
1,11,402
1,12,356
1,13,350
1,14,378
1,15,450
1,16,412
1,17,374
1,18,402
1,19,429
1,20,448
1,21,464
1,22,471
1,23,486
1,24,432
6,1,1174
6,2,953
6,3,703
6,4,554
6,5,484
6,6,322
6,7,397
6,8,434
6,9,614
6,10,733
6,11,774
6,12,844
6,13,821
6,14,815
6,15,859
6,16,882
6,17,958
6,18,955
6,19,1065
6,20,1213
6,21,1203
6,22,1299
6,23,1414
6,24,1395
7,1,1387
7,2,1230
7,3,887
7,4,649
7,5,538
7,6,323
7,7,346
7,8,328
7,9,397
7,10,554
7,11,694
7,12,779
7,13,816
7,14,834
7,15,811
7,16,829
7,17,785
7,18,821
7,19,809
7,20,802
7,21,709
7,22,757
7,23,853
7,24,758
4,1,398
4,2,260
4,3,215
4,4,179
4,5,269
4,6,381
4,7,503
4,8,615
4,9,626
4,10,522
4,11,408
4,12,350
4,13,322
4,14,346
4,15,340
4,16,345
4,17,344
4,18,382
4,19,469
4,20,566
4,21,509
4,22,615
4,23,646
4,24,578
2,1,309
2,2,187
2,3,155
2,4,111
2,5,230
2,6,362
2,7,497
2,8,537
2,9,667
2,10,549
2,11,384
2,12,332
2,13,295
2,14,290
2,15,332
2,16,346
2,17,294
2,18,383
2,19,405
2,20,467
2,21,528
2,22,540
2,23,568
2,24,457
3,1,367
3,2,216
3,3,166
3,4,108
3,5,242
3,6,291
3,7,452
3,8,589
3,9,580
3,10,457
3,11,416
3,12,310
3,13,317
3,14,286
3,15,338
3,16,351
3,17,299
3,18,320
3,19,364
3,20,452
3,21,459
3,22,539
3,23,586
3,24,532
